timestamp,point_path,value,units
2026-07-13T00:00:00-07:00,SYN1/AHU-1/RA_TEMP,73.057,degF
2026-07-13T00:01:00-07:00,SYN1/AHU-1/RA_TEMP,73.021,degF
2026-07-13T00:02:00-07:00,SYN1/AHU-1/RA_TEMP,72.856,degF
2026-07-13T00:03:00-07:00,SYN1/AHU-1/RA_TEMP,73.119,degF
2026-07-13T00:04:00-07:00,SYN1/AHU-1/RA_TEMP,72.941,degF
2026-07-13T00:05:00-07:00,SYN1/AHU-1/RA_TEMP,72.842,degF
2026-07-13T00:06:00-07:00,SYN1/AHU-1/RA_TEMP,72.804,degF
2026-07-13T00:07:00-07:00,SYN1/AHU-1/RA_TEMP,73.003,degF
2026-07-13T00:08:00-07:00,SYN1/AHU-1/RA_TEMP,72.905,degF
2026-07-13T00:09:00-07:00,SYN1/AHU-1/RA_TEMP,72.825,degF
2026-07-13T00:10:00-07:00,SYN1/AHU-1/RA_TEMP,73.049,degF
2026-07-13T00:11:00-07:00,SYN1/AHU-1/RA_TEMP,72.927,degF
2026-07-13T00:12:00-07:00,SYN1/AHU-1/RA_TEMP,73.024,degF
2026-07-13T00:13:00-07:00,SYN1/AHU-1/RA_TEMP,73.090,degF
2026-07-13T00:14:00-07:00,SYN1/AHU-1/RA_TEMP,72.953,degF
2026-07-13T00:15:00-07:00,SYN1/AHU-1/RA_TEMP,73.060,degF
2026-07-13T00:16:00-07:00,SYN1/AHU-1/RA_TEMP,73.082,degF
2026-07-13T00:17:00-07:00,SYN1/AHU-1/RA_TEMP,73.008,degF
2026-07-13T00:18:00-07:00,SYN1/AHU-1/RA_TEMP,73.168,degF
2026-07-13T00:19:00-07:00,SYN1/AHU-1/RA_TEMP,72.865,degF
2026-07-13T00:20:00-07:00,SYN1/AHU-1/RA_TEMP,73.091,degF
2026-07-13T00:21:00-07:00,SYN1/AHU-1/RA_TEMP,72.842,degF
2026-07-13T00:22:00-07:00,SYN1/AHU-1/RA_TEMP,73.003,degF
2026-07-13T00:23:00-07:00,SYN1/AHU-1/RA_TEMP,73.104,degF
2026-07-13T00:24:00-07:00,SYN1/AHU-1/RA_TEMP,73.157,degF
2026-07-13T00:25:00-07:00,SYN1/AHU-1/RA_TEMP,72.836,degF
2026-07-13T00:26:00-07:00,SYN1/AHU-1/RA_TEMP,72.828,degF
2026-07-13T00:27:00-07:00,SYN1/AHU-1/RA_TEMP,72.828,degF
2026-07-13T00:28:00-07:00,SYN1/AHU-1/RA_TEMP,73.157,degF
2026-07-13T00:29:00-07:00,SYN1/AHU-1/RA_TEMP,73.072,degF
2026-07-13T00:30:00-07:00,SYN1/AHU-1/RA_TEMP,72.883,degF
2026-07-13T00:31:00-07:00,SYN1/AHU-1/RA_TEMP,73.148,degF
2026-07-13T00:32:00-07:00,SYN1/AHU-1/RA_TEMP,73.190,degF
2026-07-13T00:33:00-07:00,SYN1/AHU-1/RA_TEMP,72.970,degF
2026-07-13T00:34:00-07:00,SYN1/AHU-1/RA_TEMP,73.040,degF
2026-07-13T00:35:00-07:00,SYN1/AHU-1/RA_TEMP,72.995,degF
2026-07-13T00:36:00-07:00,SYN1/AHU-1/RA_TEMP,73.154,degF
2026-07-13T00:37:00-07:00,SYN1/AHU-1/RA_TEMP,72.957,degF
2026-07-13T00:38:00-07:00,SYN1/AHU-1/RA_TEMP,72.954,degF
2026-07-13T00:39:00-07:00,SYN1/AHU-1/RA_TEMP,73.174,degF
2026-07-13T00:40:00-07:00,SYN1/AHU-1/RA_TEMP,72.844,degF
2026-07-13T00:41:00-07:00,SYN1/AHU-1/RA_TEMP,72.867,degF
2026-07-13T00:42:00-07:00,SYN1/AHU-1/RA_TEMP,73.158,degF
2026-07-13T00:43:00-07:00,SYN1/AHU-1/RA_TEMP,72.924,degF
2026-07-13T00:44:00-07:00,SYN1/AHU-1/RA_TEMP,72.860,degF
2026-07-13T00:45:00-07:00,SYN1/AHU-1/RA_TEMP,72.944,degF
2026-07-13T00:46:00-07:00,SYN1/AHU-1/RA_TEMP,72.804,degF
2026-07-13T00:47:00-07:00,SYN1/AHU-1/RA_TEMP,73.197,degF
2026-07-13T00:48:00-07:00,SYN1/AHU-1/RA_TEMP,73.114,degF
2026-07-13T00:49:00-07:00,SYN1/AHU-1/RA_TEMP,73.051,degF
2026-07-13T00:50:00-07:00,SYN1/AHU-1/RA_TEMP,72.835,degF
2026-07-13T00:51:00-07:00,SYN1/AHU-1/RA_TEMP,72.975,degF
2026-07-13T00:52:00-07:00,SYN1/AHU-1/RA_TEMP,72.873,degF
2026-07-13T00:53:00-07:00,SYN1/AHU-1/RA_TEMP,72.977,degF
2026-07-13T00:54:00-07:00,SYN1/AHU-1/RA_TEMP,73.135,degF
2026-07-13T00:55:00-07:00,SYN1/AHU-1/RA_TEMP,72.849,degF
2026-07-13T00:56:00-07:00,SYN1/AHU-1/RA_TEMP,72.978,degF
2026-07-13T00:57:00-07:00,SYN1/AHU-1/RA_TEMP,72.853,degF
2026-07-13T00:58:00-07:00,SYN1/AHU-1/RA_TEMP,72.969,degF
2026-07-13T00:59:00-07:00,SYN1/AHU-1/RA_TEMP,72.852,degF
2026-07-13T01:00:00-07:00,SYN1/AHU-1/RA_TEMP,72.937,degF
2026-07-13T01:01:00-07:00,SYN1/AHU-1/RA_TEMP,72.926,degF
2026-07-13T01:02:00-07:00,SYN1/AHU-1/RA_TEMP,72.980,degF
2026-07-13T01:03:00-07:00,SYN1/AHU-1/RA_TEMP,72.958,degF
2026-07-13T01:04:00-07:00,SYN1/AHU-1/RA_TEMP,72.936,degF
2026-07-13T01:05:00-07:00,SYN1/AHU-1/RA_TEMP,73.148,degF
2026-07-13T01:06:00-07:00,SYN1/AHU-1/RA_TEMP,73.142,degF
2026-07-13T01:07:00-07:00,SYN1/AHU-1/RA_TEMP,73.056,degF
